"ACCTYR","ACCTMO","KW-Units","KWH-Units","GAS-DKT-Units","WATER-MCF","ELEC","GAS","Water-Sewer"
2011,5,8306,3959660,26966.2,2004.04,262753.16,292062.66,91007.01
2011,6,8464,3983402,15452,1373.9,280691.15,189627.16,63538.56
2011,7,8700,4186461,10856.4,2627.76,296465.9,115125.72,98373.62
2011,8,9290,4359051,12360.8,2173.94,311332.36,124038.86,103705.31
2011,9,9277,4569606,17446.2,2415.3,318532.59,153769.22,114915.74
2011,10,9025,4494306,29079.7,2235.61,297837.55,222218.64,106112.72
2011,11,8754,4335164,40308.9,2391.61,253261.3,291459.02,114044.93
2011,12,8204,4292061,48051.7,2030.49,243160.37,335601.49,97110.3
2012,1,8065,4363265,46065.1,1371.17,252909.8,321085.68,66750.76
2012,2,8096,4347390,46100.6,2068.28,250442.45,321464.77,98847.17
2012,3,8549,4411280,34822.1,2009.14,268407,251249,95983.77
2012,4,9045,4410315,30798.4,2061.02,279876.53,225999.95,98774.88
2012,5,8138,3973210,22893.2,1970.54,255773.9,179892.88,94242.79
2012,6,8648,4062233,13989.7,1184.56,282288.58,128369.34,57713.57
2012,7,8701,4324713,9364.7,1923.4,307031.04,101751.08,92336.68
2012,8,9399,4473751,10920.1,2366.95,318952.44,110003.98,118811.31
2012,9,9157,4476139,15257.4,2570.08,311840.67,134934.63,129013.84
2012,10,8867,4604716,30641.8,2219.17,303827.69,223022.33,111483.4
2012,11,8710,4442820,37134.6,2132.86,272560.12,261388.75,107625.72
2012,12,8511,4335458,47230.4,1818.59,262578.45,320821.94,92096.51
2013,1,8175,4836726,48877.2,1384.35,284318.11,331410.86,71370.61
2013,2,7936,4733127,41108.5,1891.98,282001.04,292924.1,95832.79
2013,3,8305,4452652,37715.1,2097.14,277538.06,266603.38,106201.31
2013,4,8668,4480778,34188.8,1827.77,293751.32,252444.51,92751.95
2013,5,8047,3687699,19450.2,1932.99,275135.51,167025.33,97964.2
2013,6,8416,4006953,11614.6,1319.15,290862.77,122627.42,67865.56
2013,7,8621,4385229,9264.1,1612.54,321222.52,96308.56,82176.28
2013,8,9499.24,4645264,10737.1,2065.89,340684.17,102602.15,105739.4
2013,9,9566.54,4675880,17861.9,2090.44,339289.39,134707.55,99738.69
2013,10,8811.01,4642603,35022.4,2766.2,317784.73,209913.77,141375.75
2013,11,8233.03,4478687,39367,1674.75,282657.31,234585.95,86404.2
2013,12,8788.14,4335676,50969.9,1754,268931.46,324729.83,90483.41
2014,1,8072.76,4480246,46575.2,1291.96,265545.01,267122.94,67718.28
2014,2,8667.77,4343521,51235.6,1889.8,262984.26,334204.91,97346.51
2014,3,8285,4468518,39701.7,1833.33,292022.34,258250.47,94433.12
2014,4,8920.75,4484783,30530.9,1825.93,305560.83,186996.14,94366.32
2014,5,8425.75,4040310,19879,1663.61,287991.6,145555.92,86104.9
2014,6,7982.94,3884974,10918,1147.73,269369.77,105966.73,60367.1
2014,7,8289.41,4386414,8570.9,1280.3,326716.84,95273.94,67150.98
